Pincode,State Code,District,Prepaid,Reverse Pickup,REPL,COD,Cash
695033,KL,Trivandrum,Y,Y,Y,Y,Y
123003,HR,Gurgaon,Y,Y,Y,Y,Y
689108,KL,Pathanamthitta,Y,Y,Y,Y,Y
688521,KL,Alappuzha,Y,Y,Y,Y,Y
712613,WB,Hooghly,Y,Y,Y,Y,Y
221303,UP,Sant Ravidas Nagar,Y,Y,Y,Y,Y
174503,HP,Una,Y,Y,Y,Y,Y
534315,AP,West Godavari,Y,Y,N,Y,N
136027,HR,Kaithal,Y,Y,Y,Y,Y
575023,KA,Dakshina Kannada,Y,Y,Y,Y,Y
443402,MH,Buldhana,Y,Y,N,Y,N
713432,WB,Bardhaman,Y,Y,Y,Y,Y
833220,JH,SERAIKELA-KHARSAWAN,Y,Y,Y,Y,Y
431007,MH,Aurangabad,Y,Y,Y,Y,Y
518112,AP,Kurnool,Y,Y,Y,Y,Y
518134,AP,Kurnool,Y,Y,Y,Y,Y
202135,UP,Aligarh,Y,Y,Y,Y,Y
385505,GJ,Banaskantha,Y,Y,Y,Y,Y
384241,GJ,Patan,Y,Y,N,Y,N
380007,GJ,Ahmedabad,Y,Y,Y,Y,Y
184141,JK,Kathua,Y,Y,Y,Y,Y
384175,GJ,Mahesana,Y,Y,Y,Y,Y
226018,UP,Lucknow,Y,Y,Y,Y,Y
484446,MP,Anuppur,Y,Y,Y,Y,Y
486889,MP,Sidhi,Y,Y,N,Y,N
209505,UP,Farrukhabad,Y,Y,Y,Y,Y
731125,WB,Birbhum,Y,Y,Y,Y,Y
736158,WB,Cooch Behar,Y,Y,N,Y,N
757029,OR,Mayurbhanj,Y,Y,N,Y,N
721170,WB,West Midnapore,Y,Y,N,Y,N
761211,OR,Gajapati,Y,Y,Y,Y,Y
142047,PB,Firozpur,Y,Y,Y,Y,Y
486008,MP,Rewa,Y,Y,Y,Y,Y
689590,KL,Alappuzha,Y,Y,N,Y,N
712419,WB,Hooghly,Y,Y,Y,Y,Y
754228,OR,Kendrapara,Y,Y,Y,Y,Y
612106,TN,Mayiladuthurai,Y,Y,Y,Y,Y
643239,TN,Nilgiris,Y,Y,Y,Y,Y
638051,TN,Erode,Y,Y,N,Y,N
416421,MH,Sangli,Y,Y,Y,Y,Y
680568,KL,THRISSUR,Y,Y,Y,Y,Y
490042,CG,Durg,Y,Y,Y,Y,Y
382750,GJ,Surendra Nagar,Y,Y,N,Y,N
630318,TN,Sivaganga,Y,Y,Y,Y,Y
631303,TN,Tiruvallur,Y,Y,Y,Y,Y
607401,TN,Cuddalore,Y,Y,Y,Y,Y
623115,TN,Ramanathapuram,Y,Y,Y,Y,Y
602107,TN,Tiruvallur,Y,Y,Y,Y,Y
444711,MH,Amravati,Y,Y,N,Y,N
712417,WB,Hooghly,Y,Y,Y,Y,Y
712311,WB,Hooghly,Y,Y,Y,Y,Y
148026,PB,Sangrur,Y,Y,Y,Y,Y
174304,HP,Hamirpur(Hp),Y,Y,Y,Y,Y
176125,HP,Kangra,Y,Y,N,Y,N
713212,WB,Bardhaman,Y,Y,Y,Y,Y
202414,UP,Moradabad,Y,Y,Y,Y,Y
507116,TS,Khammam,Y,Y,Y,Y,Y
805101,BR,Nawada,Y,Y,Y,Y,Y
805106,BR,Nawada,Y,Y,Y,Y,Y
847229,BR,Madhubani,Y,Y,Y,Y,Y
413718,MH,Ahmed Nagar,Y,Y,Y,Y,Y
460665,MP,Betul,Y,Y,Y,Y,Y
415537,MH,Satara,Y,Y,Y,Y,Y
416516,MH,Sindhudurg,Y,Y,Y,Y,Y
711414,WB,Howrah,Y,Y,Y,Y,Y
721155,WB,West Midnapore,Y,Y,Y,Y,Y
743383,WB,South 24 Parganas,Y,Y,Y,Y,Y
174310,HP,Bilaspur (Hp),Y,Y,N,Y,N
396560,GJ,Navsari,Y,Y,Y,Y,Y
391105,GJ,Vadodara,Y,Y,N,Y,N
504273,TS,Adilabad,Y,Y,N,Y,N
271603,UP,Gonda,Y,Y,Y,Y,Y
272001,UP,Basti,Y,Y,Y,Y,Y
576126,KA,Udupi,Y,Y,Y,Y,Y
403403,GA,North Goa,Y,Y,Y,Y,Y
362003,GJ,Junagadh,Y,Y,Y,Y,Y
828111,JH,Dhanbad,Y,Y,Y,Y,Y
757034,OR,Mayurbhanj,Y,Y,Y,Y,Y
843323,BR,Sitamarhi,Y,Y,Y,Y,Y
563133,KA,Kolar,Y,Y,Y,Y,Y
785016,AS,Jorhat,Y,Y,Y,Y,Y
534426,AP,West Godavari,Y,Y,Y,Y,Y
613704,TN,Tiruvarur,Y,Y,N,Y,N
451665,MP,Barwani,Y,Y,Y,Y,Y
532403,AP,Srikakulam,Y,Y,Y,Y,Y
361230,GJ,Jamnagar,Y,Y,Y,Y,Y
495001,CG,Janjgir-Champa,Y,Y,Y,Y,Y
230125,UP,Pratapgarh,Y,Y,Y,Y,Y
629159,TN,Kanyakumari,Y,Y,Y,Y,Y
628612,TN,Tuticorin,Y,Y,Y,Y,Y
125077,HR,Sirsa,Y,Y,N,Y,N
332711,RJ,Sikar,Y,Y,Y,Y,Y
148021,PB,Sangrur,Y,Y,Y,Y,Y
335064,RJ,Hanumangarh,Y,Y,Y,Y,Y
306104,RJ,Pali,Y,Y,N,Y,N
334004,RJ,Bikaner,Y,Y,Y,Y,Y
506144,TS,Warangal,Y,Y,Y,Y,Y
507123,TS,Khammam,Y,Y,Y,Y,Y
799254,TR,North Tripura,Y,Y,Y,Y,Y
804419,BR,Jehanabad,Y,Y,Y,Y,Y
847405,BR,Darbhanga,Y,Y,Y,Y,Y
759040,OR,Dhenkanal,Y,Y,Y,Y,Y
713517,WB,Bankura,Y,Y,Y,Y,Y
691009,KL,Kollam,Y,Y,Y,Y,Y
425103,MH,Jalgaon,Y,Y,Y,Y,Y
142023,PB,Ludhiana,Y,Y,Y,Y,Y
142024,PB,Ludhiana,Y,Y,Y,Y,Y
421402,MH,Thane,Y,Y,N,Y,N
524404,AP,Nellore,Y,Y,Y,Y,Y
110112,DL,New Delhi,Y,Y,Y,Y,Y
262001,UP,Pilibhit,Y,Y,Y,Y,Y
160028,CH,Chandigarh,Y,Y,Y,Y,Y
160036,CH,Chandigarh,Y,Y,Y,Y,Y
690508,KL,Alappuzha,Y,Y,Y,Y,Y
326520,RJ,Kota,Y,Y,Y,Y,Y
388250,GJ,Kheda,Y,Y,N,Y,N
144521,PB,Nawanshahr,Y,Y,Y,Y,Y
